OID,Year,Date,ID,UTMEast,UTMNorth,Sex,Weight,SVL,TailLength,TotalLength,TailStatus,ReproStatus,#FolliclesOrEggs
15206,2020,2020-02-06,2020-01-18.01,,,Male,6850,192.6,30.5,223.1,Intact,Semi-turgid,
15207,2020,2020-02-06,2020-01-23.01,,,Male,15032,267.0,35.1,302.1,Intact,Turgid,
15208,2020,2020-02-06,2020-01-31.06,,,Female,1942,156.1,21.7,177.8,Intact,,
15211,2020,2020-02-11,2020-01-31.02,,,Female,10000,,,,,,
15212,2020,2020-02-11,2020-01-31.03,,,Male,8800,,,,,,
15213,2020,2020-02-11,2020-01-31.04,,,Male,4700,,,,,,
15214,2020,2020-02-11,2020-02-03.02,,,Male,21794,296.5,,,,,
15216,2020,2020-02-11,2020-02-11.02,466895,2870259,Female,39200,379.0,,,,,
15217,2019,2019-12-09,2019-12-08.01,,,Male,612,97.4,13.1,110.5,Intact,,
15220,2019,2019-11-12,2019-11-12.04,,,Female,88,67.0,5.6,72.6,Broken,,
15221,2019,2019-11-27,2019-11-21.01,,,Female,4392,173.2,27.1,200.3,Intact,,
15222,2019,2019-11-25,2019-11-22.01,,,Female,6166,198.5,30.2,228.7,Intact,,
15223,2019,2019-12-09,2019-12-08.01,,,Male,612,97.4,,,,Undeveloped,
15224,2019,2019-12-13,2019-12-10.04,,,Male,3768,171.9,26.7,198.6,Intact,Semi-turgid,
15225,2019,2019-12-16,2019-12-14.02,,,Female,3950,173.8,24.1,197.9,Intact,Undeveloped,
15226,2020,2020-01-09,2019-12-16.02,,,Female,3518,183.3,27.9,211.2,Intact,,
15227,2020,2020-01-09,2019-12-24.02,,,Male,3338,159.9,23.3,183.2,Intact,,
15228,2020,2020-01-09,2019-12-26.01,,,Male,5930,178.1,29.0,207.1,Intact,,
15229,2020,2020-01-13,2020-01-13.02,,,Female,4374,172.9,26.8,199.7,Intact,,
15230,2020,2020-02-05,2020-01-20.01,,,Male,932,105.3,14.9,120.2,Intact,Undeveloped,
15231,2020,2020-01-31,2020-01-31.05,,,Male,3522,168.0,28.0,196.0,Intact,Semi-turgid,
15232,2020,2020-02-14,05Sep19.02,,,Male,3484,,,,,,
15233,2019,2019-11-22,2019-11-15.02,,,Female,660,90.7,13.1,103.8,Intact,,
15234,2019,2019-11-25,2019-11-23.05,,,Female,3578,158.2,22.9,181.1,Intact,,
15235,2019,2019-12-13,2019-12-09.02,,,Male,5050,197.3,29.1,226.4,Intact,Semi-turgid,
15236,2019,2019-12-13,2019-12-09.03,,,Male,3072,152.0,22.8,174.8,Intact,,
15237,2020,2020-01-09,2019-12-17.04,,,Male,7804,210.1,14.4,224.5,Broken,Semi-turgid,
15238,2020,2020-01-19,2020-01-16.01,,,Male,14574,268.0,39.8,307.8,Intact,Semi-turgid,
15241,2020,2020-02-16,2020-02-16.01,520011,2792191,Male,,,,,,,
15242,2020,2020-01-28,2020-01-27.01,,,Female,56100,385.0,57.3,442.3,Intact,Secondary,74
15243,2020,2020-02-14,2020-01-31.01,,,Male,4580,181.8,29.8,211.6,Intact,Semi-turgid,
15244,2020,2020-02-18,2020-02-16.01,,,Male,4990,,,,,,
15245,2019,2019-11-25,2019-11-22.02,,,Male,3982,186.9,29.7,216.6,Intact,,
15246,2019,2019-11-25,2019-11-24.02,,,Female,3862,173.0,25.1,198.1,Intact,,
15247,2019,2019-12-13,2019-12-10.05,,,Male,3736,192.5,28.5,221.0,Intact,,
15248,2020,2020-01-09,2020-01-05.01,,,Male,4534,181.2,25.0,206.2,Intact,Semi-turgid,
15250,2020,2020-02-19,2020-02-19.01,516230,2789637,Male,,,,,,,
15252,2020,2020-02-19,2020-02-19.02,487262,2866946,Female,68200,474.0,,,,,
15253,2020,2020-02-04,2020-02-04.01,,,Female,38600,338.9,47.8,386.7,Intact,Secondary,73
15255,2020,2020-02-20,2020-02-20.01,466566,2863222,Male,8300,,,,,,
15257,2020,2020-02-20,2020-02-20.02,466571,2863223,Female,6000,,,,,,
15259,2020,2020-02-20,2020-02-20.03,466553,2863222,Female,28900,328.5,,,,,
15261,2020,2020-02-21,28Feb19.01,,,Male,5372,191.3,30.1,221.4,Intact,Semi-turgid,
15262,2019,2019-12-17,2019-12-13.01,,,Female,5814,193.8,27.3,221.1,Intact,Primary,
15267,2020,2020-02-11,2020-02-11.02,,,Female,37800,347.0,49.8,396.8,Intact,Secondary,53
15271,2020,2020-02-25,2020-02-25.02,487419,2862622,Male,3500,175.5,,,,,
15273,2020,2020-02-25,2020-02-25.03,475371,2860823,Male,7200,219.0,37.0,256.0,,,
15274,2020,2020-02-25,2020-01-31.02,,,Female,10040,270.0,34.9,304.9,Intact,Primary,
15275,2020,2020-02-25,2020-01-31.03,,,Male,8198,229.0,27.9,256.9,Broken,Semi-turgid,
15276,2020,2020-02-25,2020-01-31.04,,,Male,4696,195.3,28.2,223.5,Intact,Semi-turgid,
15277,2020,2020-02-25,2020-02-03.02,,,Male,21794,296.5,,,,Turgid,
15282,2020,2020-03-02,05Sep19.02,,,Male,3354,,,,,,
15283,2020,2020-03-02,18Aug19.02,,,Male,4598,,,,,,
15284,2020,2020-03-02,2020-02-19.01,,,Male,5402,,,,,,
15287,2020,2020-03-03,11Sep19.13,,,Male,4142,,,,,,
15290,2020,2020-03-03,20Aug19.02,,,Male,6230,,,,,,
15291,2020,2020-03-03,30Jun19.01,,,Male,3714,,,,,,
15292,2020,2020-03-04,07Sep19.01,,,Male,5714,,,,,,
15293,2020,2020-03-04,12Aug19.01,,,Male,5772,,,,,,
15300,2020,2020-03-04,2020-03-04.04,507786,2858410,Male,22400,321.0,,,,,
15301,2020,2020-03-04,24Jul19.14,,,Male,4906,,,,,,
15307,2020,2020-03-06,11Sep19.14,,,Male,3100,,,,,,
15308,2020,2020-03-06,18Sep19.10,,,Male,7100,,,,,,
15335,2020,2020-03-10,2020-03-10.02,467167,2870042,Female,,,,,,,
15343,2020,2020-03-11,2020-03-11.01,545629,2832409,Female,,,,,,,
15344,2020,2020-03-05,2020-02-19.02,,,Female,61700,472.8,55.6,528.4,Intact,Secondary,75
15345,2020,2020-02-20,2020-02-20.03,,,Female,28500,294.6,41.6,336.2,Intact,Secondary,57
15346,2020,2020-02-25,2020-02-25.02,,,Male,3590,181.4,28.8,210.2,Intact,,
15347,2020,2020-02-25,2020-02-25.03,,,Male,7148,200.1,34.6,234.7,Intact,,
15350,2020,2020-03-04,2020-02-16.01,,,Male,4956,200.0,30.1,230.1,Intact,Semi-turgid,
15352,2020,2020-03-11,2020-02-20.01,,,Male,7930,229.1,35.8,264.9,Intact,Turgid,
15353,2020,2020-03-11,2020-02-20.02,,,Female,5752,183.9,26.4,210.3,Intact,Secondary,14
15363,2020,2020-03-13,2020-03-13.03,516901,2800797,Female,8260,236.5,30.5,267.0,,,
15364,2020,2020-03-13,2020-02-19.01,,,Male,5374,189.3,30.5,219.8,Intact,Semi-turgid,
15365,2020,2020-03-13,2020-03-11.01,,,Female,2546,158.8,21.7,180.5,Intact,,
15369,2020,2020-03-16,2020-03-14.01,,,Male,4268,,,,,,
15375,2020,2020-03-17,2020-03-17.04,507112,2856962,Male,3600,,,,,,
15377,2020,2020-03-17,2020-03-17.05,507112,2856962,Female,9500,,,,,,
15394,2020,2020-03-19,2020-03-13.03,,,Female,7892,,,,,,
15416,2020,2020-03-23,05Sep19.02,,,Male,3300,,,,,,
15418,2020,2020-03-23,07Sep19.01,,,Male,5700,,,,,,
15420,2020,2020-03-23,11Sep19.13,,,Male,3900,,,,,,
15422,2020,2020-03-23,12Aug19.01,,,Male,5550,,,,,,
15424,2020,2020-03-23,18Aug19.02,,,Male,4500,,,,,,
15426,2020,2020-03-23,18Sep19.10,,,Male,7100,,,,,,
15428,2020,2020-03-23,20Aug19.02,,,Male,6000,,,,,,
15430,2020,2020-03-23,24Jul19.14,,,Male,4600,,,,,,
15432,2020,2020-03-23,30Jun19.01,,,Male,3400,,,,,,
15433,2020,2020-03-04,2020-03-04.04,,,Male,22200,306.5,44.5,351.0,Intact,,
15434,2020,2020-03-10,2020-03-10.02,,,Female,36500,363.9,49.3,413.2,Intact,Eggs,50
15435,2020,2020-03-24,2020-03-13.03,,,Female,7908,209.0,32.6,241.6,Intact,,
15439,2020,2020-03-17,2020-03-17.04,,,Male,3486,178.4,26.6,205.0,Intact,,
15440,2020,2020-03-17,2020-03-17.05,,,Female,9410,213.0,31.0,244.0,Intact,Secondary,14
15684,2020,2020-03-04,2020-03-04.03,532178,2808276,Male,6480,,,,,,
15685,2020,2020-03-14,2020-03-14.01,511256,2786232,Male,,,,,,,
16117,2020,2020-01-07,2020-01-07.02,504695,2847407,Female,63000,418.0,51.0,469.0,Intact,Secondary,82
16119,2020,2020-02-04,2020-02-04.02,484255,2858597,Female,64500,475.0,,,Intact,Secondary,89
16120,2020,2020-02-25,2020-02-25.04,475378,2860834,Female,56500,421.0,59.0,480.0,Intact,Secondary,75
16122,2020,2020-02-25,2020-02-25.05,475368,2860823,Male,41500,370.0,48.0,418.0,Intact,,
16123,2020,2020-03-05,2020-03-05.03,487050,2862829,Female,57100,377.0,55.5,432.5,Intact,Secondary,74
